"cpu.d01","int.d01","mem.d01","cpu.d02","int.d02","mem.d02","cpu.n01","int.n01","mem.n01","cpu.n02","int.n02","mem.n02"
8.5 0.03 91.73 8.5 0.03 91.73 8.5 0.03 91.73 8.5 0.03 91.73
10 0.01 92.2 8.5 0.06 92.33 9 0.01 92.04 11 0.03 92.81
11 0.01 91.99 11 0.01 91.99 11 0.01 91.99 11 0.01 91.99
11.5 0.01 92.08 11.5 0.01 92.08 11.5 0.01 92.08 11.5 0.01 92.08
8.5 0.02 91.72 8.5 0.02 91.72 8.5 0.02 91.72 8.5 0.02 91.72
9.5 0 91.1 9.5 0 91.1 9.5 0 91.1 9.5 0 91.1
10 0.01 92 10 0.01 92 10 0.01 92 10 0.01 92
12 0.01 92.07 12 0.01 92.07 12 0.01 92.07 12 0.01 92.07
8.5 0.04 91.73 8.5 0.04 91.73 8.5 0.04 91.73 8.5 0.04 91.73
10.5 0 91.09 10.5 0 91.09 10.5 0 91.09 10.5 0 91.09
10 0.01 91.99 10 0.01 91.99 10 0.01 91.99 10 0.01 91.99
12 0.01 92.07 12 0.01 92.07 12 0.01 92.07 12 0.01 92.07
8.5 0.02 91.72 8.5 0.02 91.72 8.5 0.02 91.72 8.5 0.02 91.72
9.5 0 91.1 9.5 0 91.1 9.5 0 91.1 9.5 0 91.1
10 0.02 92 10 0.02 92 10 0.02 92 10 0.02 92
11.5 0.01 92.07 11.5 0.01 92.07 11.5 0.01 92.07 11.5 0.01 92.07
8.5 0.03 91.72 8.5 0.03 91.72 8.5 0.03 91.72 8.5 0.03 91.72
9.5 0 91.09 9.5 0 91.09 9.5 0 91.09 9.5 0 91.09
10 0.02 91.99 10 0.02 91.99 10 0.02 91.99 10 0.02 91.99
12 0.01 92.07 12 0.01 92.07 12 0.01 92.07 12 0.01 92.07
8.5 0.03 91.73 8.5 0.03 91.73 8.5 0.03 91.73 8.5 0.03 91.73
9.5 0 91.11 9.5 0 91.11 9.5 0 91.11 9.5 0 91.11
10 0.02 91.99 10 0.02 91.99 10 0.02 91.99 10 0.02 91.99
11.5 0.01 92.08 11.5 0.01 92.08 11.5 0.01 92.08 11.5 0.01 92.08
8.5 0.01 91.72 8.5 0.01 91.72 8.5 0.01 91.72 8.5 0.01 91.72
9.5 0 91.09 9.5 0 91.09 9.5 0 91.09 9.5 0 91.09
10 0.01 91.99 10 0.01 91.99 10 0.01 91.99 10 0.01 91.99
11.5 0.01 92.08 11.5 0.01 92.08 11.5 0.01 92.08 11.5 0.01 92.08
8.5 0.03 91.72 8.5 0.03 91.72 8.5 0.03 91.72 8.5 0.03 91.72
9.5 0 91.09 9.5 0 91.09 9.5 0 91.09 9.5 0 91.09
10 0.01 91.99 10 0.01 91.99 10 0.01 91.99 10 0.01 91.99
12.5 0.01 92.07 12.5 0.01 92.07 12.5 0.01 92.07 12.5 0.01 92.07
8.5 0.02 91.72 8.5 0.02 91.72 8.5 0.02 91.72 8.5 0.02 91.72
9.5 0 91.1 9.5 0 91.1 9.5 0 91.1 9.5 0 91.1
10.5 0.01 92 10.5 0.01 92 10.5 0.01 92 10.5 0.01 92
12 0.01 92.07 12 0.01 92.07 12 0.01 92.07 12 0.01 92.07
8.5 0.01 91.73 8.5 0.01 91.73 8.5 0.01 91.73 8.5 0.01 91.73
9.5 0 91.1 9.5 0 91.1 9.5 0 91.1 9.5 0 91.1
