"date","node","cpu","int","mem"
"2014-02-02 15:50:00","lbpeuin01.sceu.corp",10,0.09,91.74
"2014-02-07 20:30:00","lbpeuid01.sceu.corp",8.5,0.04,91.62
"2014-02-13 07:10:00","lbpeuin01.sceu.corp",11,0.01,93.04
"2014-02-03 20:25:00","lbpeuin01.sceu.corp",10.5,0.02,91.99
"2014-02-03 17:25:00","lbpeuin02.sceu.corp",12,0.01,91.63
"2014-02-12 19:25:00","lbpeuin01.sceu.corp",11,0.08,93.03
"2014-02-11 10:10:00","lbpeuin02.sceu.corp",12,0.01,92.52
"2014-02-01 09:55:00","lbpeuid02.sceu.corp",9.5,0,91.25
"2014-02-03 23:10:00","lbpeuin02.sceu.corp",11.5,0.01,91.64
"2014-02-03 10:05:00","lbpeuin01.sceu.corp",11,0.48,91.45
"2014-02-04 07:40:00","lbpeuin01.sceu.corp",10.5,0.06,92.09
"2014-02-04 18:20:00","lbpeuin01.sceu.corp",10,0.18,92.06
"2014-02-02 08:20:00","lbpeuin01.sceu.corp",10,0.01,91.83
"2014-02-06 03:00:00","lbpeuid02.sceu.corp",9.5,0.01,92.09
"2014-02-02 08:00:00","lbpeuin02.sceu.corp",11.5,0.01,91.55
"2014-02-06 07:30:00","lbpeuid01.sceu.corp",8.5,0.06,92.82
"2014-02-08 09:40:00","lbpeuid01.sceu.corp",8.5,0.1,91.67
"2014-02-02 10:40:00","lbpeuid01.sceu.corp",8.5,0.04,91.57
"2014-02-02 03:25:00","lbpeuin01.sceu.corp",10.5,0.02,92.03
"2014-02-01 00:15:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-09 04:15:00","lbpeuid01.sceu.corp",8.5,0.04,91.87
"2014-02-12 06:55:00","lbpeuin01.sceu.corp",10.5,0.02,93.28
"2014-02-04 04:05:00","lbpeuid02.sceu.corp",9.5,0.01,91.17
"2014-02-08 05:45:00","lbpeuid01.sceu.corp",8.5,0.03,91.65
"2014-02-06 12:45:00","lbpeuid01.sceu.corp",9,0.25,92.8
"2014-02-11 20:40:00","lbpeuid02.sceu.corp",9.5,0.01,91.73
