"date","node","cpu","int","mem"
"2014-02-01 00:00:00","lbpeuid01.sceu.corp",8.5,0.03,91.73
"2014-02-01 00:00:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 00:00:00","lbpeuin01.sceu.corp",11,0.01,91.99
"2014-02-01 00:00:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 00:05:00","lbpeuid01.sceu.corp",8.5,0.02,91.72
"2014-02-01 00:05:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 00:05:00","lbpeuin01.sceu.corp",10,0.01,92
"2014-02-01 00:05:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 00:10:00","lbpeuid01.sceu.corp",8.5,0.04,91.73
"2014-02-01 00:10:00","lbpeuid02.sceu.corp",10.5,0,91.09
"2014-02-01 00:10:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 00:10:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 00:15:00","lbpeuid01.sceu.corp",8.5,0.02,91.72
"2014-02-01 00:15:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 00:15:00","lbpeuin01.sceu.corp",10,0.02,92
"2014-02-01 00:15:00","lbpeuin02.sceu.corp",11.5,0.01,92.07
"2014-02-01 00:20:00","lbpeuid01.sceu.corp",8.5,0.03,91.72
"2014-02-01 00:20:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 00:20:00","lbpeuin01.sceu.corp",10,0.02,91.99
"2014-02-01 00:20:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 00:25:00","lbpeuid01.sceu.corp",8.5,0.03,91.73
"2014-02-01 00:25:00","lbpeuid02.sceu.corp",9.5,0,91.11
"2014-02-01 00:25:00","lbpeuin01.sceu.corp",10,0.02,91.99
"2014-02-01 00:25:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 00:30:00","lbpeuid01.sceu.corp",8.5,0.01,91.72
"2014-02-01 00:30:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 00:30:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 00:30:00","lbpeuin02.sceu.corp",11.5,0.01,92.08
"2014-02-01 00:35:00","lbpeuid01.sceu.corp",8.5,0.03,91.72
"2014-02-01 00:35:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 00:35:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 00:35:00","lbpeuin02.sceu.corp",12.5,0.01,92.07
"2014-02-01 00:40:00","lbpeuid01.sceu.corp",8.5,0.02,91.72
"2014-02-01 00:40:00","lbpeuid02.sceu.corp",9.5,0,91.1
"2014-02-01 00:40:00","lbpeuin01.sceu.corp",10.5,0.01,92
"2014-02-01 00:40:00","lbpeuin02.sceu.corp",12,0.01,92.07
"2014-02-01 00:45:00","lbpeuid01.sceu.corp",8.5,0.01,91.73
"2014-02-01 00:45:00","lbpeuid02.sceu.corp",9.5,0,91.1
